order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,day_of_week,hour,customer_type,order_channel,preparation_time_minutes,item_popularity,profit_percent
1,01-04-2024,Aalopuri,Fastfood,20,13,260,Card,Mr.,Night,Monday,00:54,New,Takeaway,19,Normal Demand,9
2,01-04-2024,Vadapav,Fastfood,20,15,300,Cash,Mr.,Afternoon,Monday,17:44,Returning,Dine-In,22,Normal Demand,78
3,01-04-2024,Vadapav,Fastfood,20,1,20,Cash,Mr.,Afternoon,Monday,05:12,Regular,Dine-In,16,Normal Demand,66
4,01-04-2024,Sugarcane juice,Beverages,25,6,150,Online,Mr.,Night,Thursday,17:59,Returning,Dine-In,13,High Demand,44
5,01-04-2024,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Evening,Thursday,13:59,New,Dine-In,5,High Demand,44
6,01-04-2024,Vadapav,Fastfood,20,10,200,Cash,Mr.,Evening,Monday,04:02,Regular,Dine-In,17,Normal Demand,86
7,01-04-2024,Sugarcane juice,Beverages,25,9,225,Cash,Mr.,Evening,Saturday,11:01,New,Online,23,High Demand,9
8,01-04-2024,Panipuri,Fastfood,20,14,280,Online,Mr.,Night,Monday,00:14,New,Dine-In,7,High Demand,70
9,01-04-2024,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Morning,Thursday,16:47,Returning,Takeaway,9,High Demand,21
10,01-04-2024,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon,Monday,07:35,New,Online,15,High Demand,10
11,01-04-2024,Frankie,Fastfood,50,8,400,Online,Mrs.,Afternoon,Wednesday,09:30,Returning,Dine-In,15,Normal Demand,53
12,01-04-2024,Vadapav,Fastfood,20,8,160,Online,Mrs.,Night,Wednesday,03:24,Returning,Takeaway,13,Normal Demand,98
13,01-04-2024,Panipuri,Fastfood,20,9,180,Online,Mrs.,Afternoon,Monday,08:28,Regular,Dine-In,7,High Demand,74
14,01-04-2024,Frankie,Fastfood,50,4,200,Online,Mr.,Morning,Monday,09:38,New,Dine-In,14,Normal Demand,77
15,01-04-2024,Aalopuri,Fastfood,20,3,60,Cash,Mrs.,Evening,Thursday,05:03,New,Takeaway,15,Normal Demand,72
16,01-04-2024,Sandwich,Fastfood,60,11,660,Card,Mrs.,Midnight,Monday,23:35,Regular,Takeaway,8,Normal Demand,79
17,01-04-2024,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Morning,Monday,06:13,Regular,Online,17,High Demand,52
18,01-04-2024,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Night,Wednesday,04:47,Returning,Takeaway,22,High Demand,13
19,01-04-2024,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Night,Monday,13:11,Regular,Dine-In,6,High Demand,84
20,01-04-2024,Cold coffee,Beverages,40,10,400,Online,Mr.,Night,Monday,07:04,Regular,Dine-In,6,High Demand,46
21,01-04-2024,Cold coffee,Beverages,40,15,600,Cash,Mr.,Evening,Monday,10:26,Returning,Takeaway,16,High Demand,51
22,01-04-2024,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Evening,Sunday,17:26,Regular,Dine-In,20,High Demand,38
23,01-04-2024,Sandwich,Fastfood,60,3,180,Online,Mr.,Midnight,Monday,01:31,Returning,Dine-In,7,Normal Demand,19
24,01-04-2024,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Afternoon,Thursday,12:51,Returning,Takeaway,23,High Demand,93
25,01-04-2024,Sandwich,Fastfood,60,1,60,Online,Mrs.,Evening,Monday,00:41,Returning,Dine-In,14,Normal Demand,79
26,01-04-2024,Sugarcane juice,Beverages,25,4,100,Cash,Mr.,Afternoon,Monday,01:21,Regular,Online,7,High Demand,65
27,01-04-2024,Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon,Saturday,02:43,New,Online,13,High Demand,41
28,01-04-2024,Cold coffee,Beverages,40,10,400,Online,Mrs.,Afternoon,Thursday,03:30,New,Dine-In,13,High Demand,83
29,01-04-2024,Sugarcane juice,Beverages,25,9,225,Online,Mr.,Afternoon,Monday,08:13,Returning,Online,12,High Demand,55
30,01-04-2024,Frankie,Fastfood,50,2,100,Cash,Mrs.,Night,Monday,22:01,Returning,Online,16,Normal Demand,45
31,01-04-2024,Cold coffee,Beverages,40,13,520,Online,Mrs.,Evening,Monday,21:00,New,Takeaway,9,High Demand,46
32,01-04-2024,Aalopuri,Fastfood,20,4,80,Card,Mr.,Morning,Sunday,02:13,Returning,Takeaway,24,Normal Demand,23
33,01-04-2024,Aalopuri,Fastfood,20,13,260,Online,Mr.,Night,Tuesday,23:49,New,Takeaway,10,Normal Demand,10
34,01-04-2024,Frankie,Fastfood,50,12,600,Online,Mrs.,Evening,Sunday,15:27,New,Takeaway,22,Normal Demand,56
35,01-04-2024,Vadapav,Fastfood,20,8,160,Cash,Mr.,Morning,Monday,13:27,Returning,Dine-In,21,Normal Demand,89
36,01-04-2024,Cold coffee,Beverages,40,10,400,Online,Mr.,Afternoon,Monday,19:23,New,Dine-In,13,High Demand,7
37,01-04-2024,Frankie,Fastfood,50,10,500,Cash,Mr.,Night,Monday,11:15,Returning,Online,8,Normal Demand,86
38,01-04-2024,Panipuri,Fastfood,20,12,240,Online,Mrs.,Night,Thursday,06:42,Returning,Takeaway,24,High Demand,83
39,01-04-2024,Vadapav,Fastfood,20,2,40,Online,Mr.,Evening,Monday,12:00,Returning,Dine-In,16,Normal Demand,28
40,01-04-2024,Sandwich,Fastfood,60,5,300,Online,Mrs.,Night,Tuesday,17:36,Returning,Takeaway,11,Normal Demand,64
41,01-04-2024,Cold coffee,Beverages,40,11,440,Card,Mr.,Afternoon,Monday,16:56,Regular,Takeaway,8,High Demand,17
42,01-04-2024,Aalopuri,Fastfood,20,8,160,Online,Mrs.,Night,Monday,04:52,Returning,Dine-In,11,Normal Demand,76
43,01-04-2024,Vadapav,Fastfood,20,1,20,Cash,Mr.,Night,Monday,22:22,Returning,Dine-In,18,Normal Demand,71
44,01-04-2024,Cold coffee,Beverages,40,12,480,Cash,Mr.,Evening,Monday,06:51,New,Online,15,High Demand,36
45,01-04-2024,Sugarcane juice,Beverages,25,6,150,Cash,Mrs.,Afternoon,Monday,19:14,Regular,Takeaway,6,High Demand,7
46,01-04-2024,Vadapav,Fastfood,20,7,140,Cash,Mr.,Evening,Tuesday,07:14,New,Takeaway,20,Normal Demand,98
47,01-04-2024,Sandwich,Fastfood,60,7,420,Card,Mr.,Morning,Friday,01:20,New,Dine-In,11,Normal Demand,45
48,01-04-2024,Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon,Monday,23:01,Regular,Dine-In,8,Normal Demand,90
49,01-04-2024,Frankie,Fastfood,50,4,200,Online,Mrs.,Morning,Saturday,14:15,New,Takeaway,18,Normal Demand,68
50,01-04-2024,Vadapav,Fastfood,20,8,160,Cash,Mrs.,Midnight,Friday,05:51,New,Dine-In,19,Normal Demand,78
51,01-04-2024,Frankie,Fastfood,50,15,750,Online,Mrs.,Morning,Monday,00:45,New,Dine-In,21,Normal Demand,76
52,01-04-2024,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight,Monday,03:19,Regular,Dine-In,5,High Demand,20
53,01-04-2024,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Afternoon,Monday,04:18,Regular,Online,12,Normal Demand,37
